id,codigo,nombre
"5063","66154040",San Carlos
"4041","30098010",Basavilbaso
"3284","14056150",Santa Eufemia
"5275","82014050",Casilda
"4090","34035030",Comandante Fontana
"5263","78049020",Gobernador Gregores
"3701","18105030",Mercedes
"5473","82070270",San Jerónimo Norte
"3505","14140030",Arroyito
"4178","38035040",Calilegua
"3228","14035040",Huinca Renancó
"3577","14147280",Toledo
"5490","82084030",Álvarez
"3818","22154050",Las Garcitas
"4616","54021080",Santa Ana
"3734","18168040",Santo Tomé
"3943","30028070",Federación
"3597","14161060",Hernando
"3164","14007310",Villa General Belgrano
"5671","86035060",Clodomira
"5562","82105080",Centeno
"5794","86154030",Selva
"5602","82119060",Fuentes
"4299","42049010",Santa Isabel
"4025","30084270",Viale
"4150","38014070",Monterrico
"4004","30084070",Crespo
"2545","06210020",Chacabuco
"3646","14182170",Monte Maíz
"4715","54098120",Santo Pipó
"4705","54098020",Corpus
"5884","90084010",San Miguel de Tucumán
"4708","54098050",Gobernador Roca
"3993","30077060",Lucas González
"4111","34049010",Clorinda
"2919","06784020",Suipacha
"3891","26098020",Gobernador Costa
"4646","54049050",San Antonio
"3591","14154050",San Francisco del Chañar
"4732","58007010",Aluminé
"4763","58070010",Villa La Angostura
"4791","58112040",Zapala
"4343","42126040",Parera
"3684","18070020",Goya
"4998","66056220",Tartagal
"4122","34056040",Pirané
"4021","30084230",Seguí
"3296","14063100",Cruz Alta
"3695","18091040",Santa Lucía
"2434","06077010",Arrecifes
"5373","82042180",María Teresa
"4747","58035070",Neuquén
"4803","62014030",Chimpay
"5628","82126160",Sastre
"3856","26035060",Trevelín
"5613","82126010",Cañada Rosquín
"5548","82091280",Villa Trinidad
"3860","26042030",Gaiman
"5873","90070050",Río Seco
"3770","22063060",Juan José Castelli
"4931","62084060",Valcheta
"3711","18119030",Paso de los Libres
"4583","50119060",Tunuyán
"4459","50042020",La Paz
"5344","82028170",Peyrano
"3298","14063120",General Roca
"3761","22056010",La Escondida
"5869","90070010",Acheral
"4080","34014070",Villa del Carmen
"4668","54077030",Garuhapé
"5491","82084040",Alvear
"5874","90070060",Santa Lucía
"5661","86028020",Herrera
"5803","86175010",Brea Pozo
"5577","82105230",San Fabián
"4362","42154020",Chacharramendi
"5792","86154010",Colonia Alpina
"3427","14112020",Chañar Viejo
"3443","14119050",Colazo
"4903","62056050",Río Chico
"5748","86105010",Villa San Martín (Est. Loreto)
"5759","86119100",Quimili
"5773","86140020",Sumampa
"2747","06547020",San Miguel del Monte
"5681","86042010",Bandera
"2755","06574030",Navarro
"5674","86035090",La Banda
"5659","86021030",Villa Atamisqui
"5768","86133030",Nueva Esperanza
"3637","14182080",Canals
"3776","22070010",Avia Terai
"5486","82077080",Tostado
"2802","06609080",Pehuajó
"4876","62042410",Contralmirante Cordero
"3915","30015090",La Criolla
"4016","30084180",Pueblo Brugo
"3598","14161070",James Craik
"2731","06515010",Malvinas Argentinas
"2760","06581040",Necochea - Quequén
"2714","06483040",Lobos
"2410","06028010",Almirante Brown
"3358","14091240",Valle Hermoso
"3619","14168120",Villa del Totoral
"4719","54105040",San Javier
"4908","62063020",Río Colorado
"5732","86084020",San Pedro
"5651","86007040",Villa General Mitre
"5022","66112010",El Galpón
"3162","14007290",Villa del Dique
"4832","62042010",Allen
"5494","82084070",Arroyo Seco
"5501","82084140",Funes
"3468","14126090",Mina Clavero
"3643","14182140",Justiniano Posse
"3976","30063030",Ibicuy
"3722","18147030",La Cruz
"5408","82049220",Villa Guillermina
"5531","82091120",Hersilia
"5328","82028010",Alcorta
"2874","06700070",Saavedra
"5702","86056050",Monte Quemado
"3740","22007050",Taco Pozo
"4039","30091090",Maciá
"4328","42105030",General Pico
"3066","10070140",Recreo
"4878","62042430",General Enrique Godoy
"5604","82119080",Puerto General San Martín
"4661","54070070",Leandro N. Alem
"3772","22063080",Nueva Pompeya
"2928","06812010",General Conesa
"3072","10077050",La Merced
"3107","10098020",Bañado de Ovanta
"3200","14021280",Unquillo
"3133","10112030",Las Tejas
"4012","30084140",María Grande
"2779","06595060",Hinojo
"2784","06595110",Sierras Bayas
"2785","06595120",Villa Alfredo Fortabat
"3192","14021200",Mendiolaza
"2732","06518010",Coronel Vidal
"3361","14091270",Villa Giardino
"3067","10070150",San Antonio
"2975","06875060",Médanos
"3262","14049050",Deán Funes
"3134","10112040",San Isidro
"4040","30091100",Rosario del Tala
"4108","34042040",Misión Tacaaglé
"2430","06070010",Baradero
"3960","30049040",Gualeguay
"3547","14147010",Alta Gracia
"3246","14042080",La Playosa
"3698","18098010",Mburucuyá
"2879","06707060",Saladillo
"3592","14161010",Almafuerte
"3635","14182060",Bell Ville
"3506","14140040",Balnearia
"3240","14042020",Arroyo Cabral
"4871","62042360",Catriel
"4354","42133080",Realicó
"4950","66007100",Las Lajitas
"5840","90021050",Concepción
"3848","26021050",Rada Tilly
"4755","58042010",Chos Malal
"5508","82084210",Pérez
"3783","22077040",Puerto Tirol
"2581","06277020",Florentino Ameghino
"3279","14056100",La Carlota
"3518","14140160",Devoto
"2887","06721020",Salliqueló
"3694","18091030",Lavalle
"4610","54021020",Candelaria
"3543","14140400",Tránsito
"3800","22119010",Presidencia de la Plaza
"4177","38035030",Caimancito
"3243","14042050",Etruria
"2588","06287010",General Alvear
"3671","18035020",Curuzú Cuatiá
"2529","06196010",Coronel Pringles
"2965","06854100",25 de Mayo
"3659","18007010",Bella Vista
"5624","82126120",María Susana
"4357","42140020",Toay
"3302","14063160",Leones
"4975","66049010",Campo Santo
"3750","22036010",Gancedo
"3352","14091180",San Antonio de Arredondo
"2681","06448010",Laprida
"4957","66014010",Cachi
"4977","66049030",El Bordo
"3916","30015100",Los Charrúas
"4014","30084160",Paraná
"2943","06833020",Claromecó
"2927","06805010",Tigre
"2789","06602030",Carmen de Patagones
"2908","06763050",San Nicolás de los Arroyos
"4592","54007010",Apóstoles
"4867","62042330",Barrio Puente 83
"5443","82063170",Santa Fe
"5584","82112050",Gobernador Crespo
"4965","66028060",Villa San Lorenzo
"4969","66035040",Villa Los Álamos - Las Tunas
"3843","26014100",Leleque
"3104","10091150",Santa María
"3785","22084020",General José de San Martín
"4084","34021040",San Francisco de Laishi
"4116","34049060",Riacho He-He
"3795","22098030",Villa Angela
"4711","54098080",Jardín América
"5855","90056010",Bella Vista
"2508","06168010",Castelli
"3986","30070080",Santa Elena
"3811","22140060",Resistencia
"3299","14063130",Guatimozín
"5334","82028070",Empalme Villa Constitución
"3480","14126210",Villa Sarmiento
"3743","22014030",La Leonesa
"4949","66007090",Joaquín V. González
"3455","14119170",Pozo del Molle
"4210","38063090",La Mendieta
"2412","06042010",Ayacucho
"2923","06791050",Tandil
"3719","18140010",San Luis del Palmar
"3952","30035030",Federal
"5601","82119050",Fray Luis Beltrán
"3366","14091320",Villa Santa Cruz del Lago
"5056","66147010",Campo Quijano
"5351","82035010",Cayastá
"3368","14098020",Adelia María
"4287","42028010",Catriló
"4807","62014070",Lamarque
"3674","18042020",Empedrado
"4255","38094040",Maimará
"5652","86014010",Campo Gallo
"2932","06819040",Tornquist
"2822","06630020",Pila
"5553","82098050",Romang
"3304","14063180",Marcos Juárez
"2743","06532020",Mercedes
"4092","34035050",Estanislao del Campo
"5377","82042220",Rufino
"3383","14098170",Las Higueras
"4364","42154040",General Acha
"3644","14182150",Laborde
"3771","22063070",Miraflores
"5609","82119130",San Lorenzo
"2491","06147030",Carlos Casares
"2750","06553020",Monte Hermoso
"4325","42098050",Victorica
"4185","38035110",Yuto
"3803","22126030",Margarita Belén
"3457","14119190",Río Segundo
"4736","58014010",Añelo
"5469","82070230",San Carlos Centro
"3459","14119210",Villa del Rosario
"2500","06154010",Carlos Tejedor
"4002","30084060",Colonia Avellaneda
"4890","62042560",Villa Regina
"5619","82126070",El Trébol
"5514","82084270",Rosario
"2607","06329020",General Las Heras
"3600","14161090",Las Perdices
"5272","82014020",Arteaga
"5487","82077090",Villa Minetti
"5252","78021040",Río Gallegos
"4695","54091060",Guaraní
"3648","14182190",Noetinger
"4627","54042020",Eldorado
"3359","14091250",Villa Carlos Paz
"3345","14091110",La Cumbre
"3548","14147020",Anisacate
"4731","54119060",25 de Mayo
"4651","54063020",Puerto Libertad
"4743","58035030",Centenario
"4879","62042440",General Fernández Oro
"5110","70063040",9 de Julio
"5146","70119060",Villa San Agustín
"5149","70126030",Villa Borjas - La Chimbera
"5826","90014040",Colombres
"4425","46077010",Villa Castelli
"4374","46021010",Aminga
"4416","46056020",Tama
"4421","46070010",Malanzán
"4430","46084050",Santa Rita de Catuna
"4435","46105020",Patquía
"4306","42063010",Algarrobo del Águila
"3341","14091070",Cosquín
"3569","14147210",Malagueño
"4219","38063180",San Pedro
"4367","46007010",Aimogasta
"4386","46028050",Villa Unión
"4438","46119010",Salicas - San Blas
"5399","82049130",Las Toscas
"4333","42112020",25 de Mayo
"4431","46091010",Ulapes
"4439","46126010",Villa Sanagasta
"4420","46063040",Olta
"5140","70112010",Villa Ibáñez
"4433","46098020",Villa San José de Vinchina
"4436","46112010",Chepes
"4486","50056160",Villa Tulumaya
"2601","06322010",General La Madrid
"4087","34028010",Ingeniero Guillermo N. Juárez
"5388","82049020",Avellaneda
"2555","06224010",Chivilcoy
"5238","78007010",Comandante Luis Piedrabuena
"3706","18112050",Monte Caseros
"3147","14007110",Los Cóndores
"3650","14182210",Pascanas
"5315","82021310",Rafaela
"3391","14098250",San Basilio
"3758","22043020",Santa Sylvina
"5331","82028040",Bombal
"5392","82049060",Florencia
"5725","86077010",Añatuya
"4652","54063030",Puerto Iguazú
"3760","22049010",Corzuela
"3395","14098290",Vicuña Mackenna
"5500","82084130",Fighiera
"4778","58091020",Buta Ranquil
"3439","14119010",Calchín
"2891","06728040",San Andrés de Giles
"4009","30084110",Hernandarias
"2567","06238010",Dolores
"5740","86091070",Pozo Hondo
"4714","54098110",San Ignacio
"5546","82091260",Suardi
"4683","54084030",Montecarlo
"2955","06847020",Tres Lomas
"4124","34063010",El Potrillo
"3088","10084100",Saujil
"3813","22147020",Villa Berthet
"5456","82070100",Humboldt
"5543","82091230",San Guillermo
"5695","86049110",Santiago del Estero
"5853","90049010",La Cocha
"5851","90042010",Juan Bautista Alberdi
"4901","62056030",Ñorquincó
"5070","66161070",Santa Victoria
"5009","66084020",El Tala
"5077","70021030",Tamberías
"2467","06119050",Coronel Brandsen
"2518","06182030",Punta Alta
"2481","06134030",Cañuelas
"2966","06861010",Vicente López
"2953","06840010",Tres de Febrero
"3338","14091040",Capilla del Monte
"3525","14140220",Freyre
"3687","18084010",Colonia Liebig's
"4600","54014010",Aristóbulo del Valle
"2448","06105060",San Carlos de Bolívar
"5025","66112040",San José de Metán (Est. Metán)
"5046","66133070",Rivadavia
"5139","70105100",Villa Media Agua
"5151","70126050",Villa Santa Rosa
"5103","70056080",San José de Jáchal
"2596","06301010",General Belgrano
"5868","90063050",Lules
"5878","90070100",Villa Quinteros
"3503","14140010",Alicia
"5463","82070170",Pilar
"4783","58098020",Picún Leufú
"2618","06351020",General Pinto
"2424","06063010",Balcarce
"3837","26014050",El Maitén
"3224","14028200",Villa de Soto
"4511","50077040",Malargüe
"2701","06469080",Lincoln
"5419","82056100",Oliveros
"3679","18063010",Itá Ibaté
"5807","86182010",Garza
"3725","18154020",San Miguel
"5596","82112170",Videla
"3130","10105180",Tinogasta
"4337","42119040",Quemú Quemú
"3983","30070040",La Paz
"3289","14063030",Camilo Aldao
"5174","74028030",Naschel
"3297","14063110",General Baldissera
"5368","82042130",Hughes
"5128","70091070",Villa San Martín
"5072","70007020",Villa General San Martín - Campo Afuera
"5094","70049060",Rodeo
"5074","70014020",Villa El Salvador - Villa Sefair
"5116","70070040",Villa Aberastain - La Rinconada
"5152","70133010",Villa Basilio Nievas
"5076","70021020",Calingasta
"3036","10042120",Miraflores
"5822","90007100",Villa Burruyacú
"2646","06392080",Piedritas
"2652","06399020",Casbas
"2670","06420010",Las Toninas
"2691","06462040",Juan Bautista Alberdi
"3110","10098050",Los Altos
"2999","10021020",Andalgalá
"5319","82021350",Santa Clara de Saguier
"4169","38028040",Humahuaca
"3980","30070010",Bovril
"4106","34042020",El Espinillo
"4533","50091060",San Carlos
"3376","14098100",Coronel Moldes
"3749","22028010",Charata
"5276","82014060",Chabas
"3266","14049100",Quilino
"4723","54112040",San Pedro
"4978","66049040",General Güemes
"4979","66056010",Aguaray
"3020","10035110",Londres
"3738","22007030",Pampa del Infierno
"3779","22070040",Napenay
"5502","82084150",General Lagos
"2772","06588100",9 de Julio
"3418","14105200",Obispo Trejo
"3713","18126010",Saladas
"4937","62091060",Los Menucos
"4062","30113060",Villa Clara
"5814","90007020",El Chañar
"5318","82021340",San Vicente
"5382","82042270",Santa Isabel
"5612","82119160",Villa Mugueta
"3037","10042130",San Martín
"2637","06385040",San Emilio
"2671","06420020",Mar de Ajó - San Bernardo
